id	name	aliases	charge	formula
dmpp	Dimethylallyl diphosphate	KEGG:C00235;CAS:358-71-4;BIGG:bigg131960;	-3	C5H9O7P2
acald	Acetaldehyde	KEGG:C00084;CAS:75-07-0;BIGG:bigg33792;	0	C2H4O
3hmp	3-Hydroxy-2-methylpropanoate	KEGG:C01188;BIGG:bigg37034;	-1	C4H7O3
n4abutn	N4-Acetylaminobutanal	KEGG:C05936;BIGG:bigg1445987;	0	C6H11NO2
acn23acngalgbside_hs	sialyl (2,3) sialyl (2,6) galactosylgloboside (homo sapiens)	BIGG:bigg2266497;	-2	C72H121N4O43FULLRCO
gp1c_hs	GP1c (homo sapiens)	BIGG:bigg2266630;	-5	C99H159N7O62FULLRCO
ecgon	ecgonine	CAS:481-37-8;BIGG:bigg2273742;	-1	C9H14NO3
ksii_core2_pre10	keratan sulfate II biosynthesis, precursor 10	BIGG:bigg2296701;	-3	C81H130N6O64S2X
ksi_pre6	keratan sulfate I biosynthesis, precursor 6	BIGG:bigg2296818;	-2	C107H174N7O80SX
ksi_pre19	keratan sulfate I biosynthesis, precursor 19	BIGG:bigg2296834;	-6	C171H275N12O137S5X
cs_d_pre3	chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 3	BIGG:bigg2300744;	-5	C37H53NO40S3X
18harachd	18 hydroxy arachidonic acid	BIGG:bigg2300206;	-1	C20H31O3
eaflatoxin	8,9 epxoy aflatoxin B1	BIGG:bigg2300011;	0	C17H12O7
5thf	pentaglutamyl folate (THF)	BIGG:bigg2304175;	-6	C39H45N11O18
6dhf	haxglutamyl folate (DHF)	BIGG:bigg2304240;	-7	C44H49N12O21
pchol_hs	Phosphatidylcholine (homo sapiens)	BIGG:bigg2228933;	0	C8H18NO4PFULLRCO2FULLR2CO2
tag_hs	triacylglycerol (homo sapiens)	BIGG:bigg2220582;	0	C3H5FULLRCO2FULLR2CO2FULLR3CO2
lnlcACP	linoleic acid ACP (all cis)	BIGG:bigg2377664;	-1	C29H51N2O8PRS
dhcholoylcoa	3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA	KEGG:C05447;CAS:67-97-0;BIGG:bigg45830;	-4	C48H74N7O19P3S
1glyc_hs	1 acyl phosphoglycerol	BIGG:bigg2389141;	-1	C6H13O7PFULLRCO2
Rtotalcoa	R total Coenzyme A	BIGG:bigg2386329;	-4	CO2FULLRC21H31N7O15P3S
cs_e_deg4	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4	BIGG:bigg2416318;	-5	C31H46NO38S4
ksi_deg39	keratan sulfate I, degradation product 39	BIGG:bigg2416955;	0	C48H81N3O36
npthl	Naphthalene	KEGG:C00829;CAS:91-20-3;BIGG:bigg36137;	0	C10H8
andrstandn	androstanedione	KEGG:C03772;CAS:1229-12-5;BIGG:bigg42505;	0	C19H28O2
2pg	D-Glycerate 2-phosphate	KEGG:C00631;BIGG:bigg35542;	-3	C3H4O7P
met-L	L-Methionine	KEGG:C00073;CAS:63-68-3;BIGG:bigg33753;	0	C5H11NO2S
ins	Inosine	KEGG:C00294;CAS:58-63-9;BIGG:bigg34525;	0	C10H12N4O5
dpcoa	Dephospho-CoA	KEGG:C00882;BIGG:bigg36283;	-2	C21H33N7O13P2S
tre	Trehalose	KEGG:C01083;CAS:99-20-7;BIGG:bigg36774;	0	C12H22O11
pydx	Pyridoxal	KEGG:C00250;CAS:66-72-8;BIGG:bigg34393;	0	C8H9NO3
5aop	5-Amino-4-oxopentanoate	KEGG:C00430;CAS:106-60-5;BIGG:bigg34963;	0	C5H9NO3
ppp9	Protoporphyrin	KEGG:C02191;CAS:553-12-8;BIGG:bigg39293;	-2	C34H32N4O4
ttdca	tetradecanoate (n-C14:0)	KEGG:C06424;CAS:544-63-8;BIGG:bigg215851;	-1	C14H27O2
methf	5,10-Methenyltetrahydrofolate	KEGG:C00445;BIGG:bigg34999;	-1	C20H20N7O6
arachd	arachidonic acid	KEGG:C00219;CAS:506-32-1;BIGG:bigg1586189;	-1	C20H31O2
bhb	(R)-3-Hydroxybutanoate	KEGG:C01089;BIGG:bigg36784;	-1	C4H7O3
dolp_L	Dolichol phosphate, human liver homolog	BIGG:bigg1809214;	-20	C1080H1758O40P10
acnam	N-Acetylneuraminate	KEGG:C00270;CAS:131-48-6;BIGG:bigg34458;	-1	C11H18NO9
zymstnl	Zymostenol	KEGG:C03845;CAS:481-39-0;BIGG:bigg42633;	0	C27H46O
itp	ITP	KEGG:C00081;CAS:132-06-9;BIGG:bigg33780;	-4	C10H11N4O14P3
dhea	Dehydroepiandrosterone	CAS:53-43-0;BIGG:bigg37131;	0	C19H28O2
11docrtstrn	11-Deoxycorticosterone	KEGG:C03205;CAS:64-85-7;BIGG:bigg41397;	0	C21H30O3
cmpntm2amep	CMP-N-trimethyl-2-aminoethylphosphonate	KEGG:C05674;CAS:151-18-8;BIGG:bigg46255;	-1	C14H25N4O10P2
prostgi2	Prostaglandin I2	KEGG:C01312;CAS:35121-78-9;BIGG:bigg37333;	-1	C20H31O5
xylu-L	L-Xylulose	KEGG:C00312;CAS:527-50-4;BIGG:bigg34584;	0	C5H10O5
glcr	D-Glucarate	KEGG:C00818;CAS:87-73-0;BIGG:bigg35926;	-2	C6H8O8
hxdcal	Hexadecanal	KEGG:C00517;CAS:629-80-1;BIGG:bigg35223;	0	C16H32O
crtsl	Cortisol	KEGG:C00735;CAS:50-23-7;BIGG:bigg35828;	0	C21H30O5
cs_d_pre5	chondroitin sulfate D (GlcNAc6S-GlcA2S), precursor 5	BIGG:bigg2300746;	-6	C45H65N2O48S4X
hs_pre1	heparan sulfate, precursor 1	BIGG:bigg2301796;	-1	C31H49NO25X
retnglc	retinoyl glucuronide	BIGG:bigg2304843;	-1	C26H35O8
o2s	Superoxide anion	KEGG:C00704;BIGG:bigg35743;	-1	O2
ksii_core2_deg7	keratan sulfate II (core 2-linked), degradation product 7	BIGG:bigg2418062;	0	C44H73N4O30X
fucgalacglcgal14acglcgalgluside_hs	VI2Fuc-nLc6	BIGG:bigg2419437;	0	C64H112N3O36FULLRCO
5fthf	5-Formyltetrahydrofolate	KEGG:C03479;CAS:58-05-9;BIGG:bigg41929;	-2	C20H21N7O7
lneldccrn	Linoelaidyl carnitine	BIGG:bigg2614390;	0	C25H45NO4
leuktrB4wcooh	w-carboxy leukotriene B4	BIGG:bigg2706566;	-2	C20H28O6
13-cis-retnglc	13-cis-retinoyl glucuronide	BIGG:bigg2430453;	-1	C26H35O8
rbl-D	D-Ribulose	KEGG:C00309;CAS:488-84-6;BIGG:bigg34569;	0	C5H10O5
f26bp	D-Fructose 2,6-bisphosphate	KEGG:C00665;BIGG:bigg35645;	-4	C6H10O12P2
lgt-S	(R)-S-Lactoylglutathione	KEGG:C03451;CAS:59-85-8;BIGG:bigg41876;	-1	C13H20N3O8S
cyst-L	L-Cystathionine	KEGG:C02291;CAS:56-88-2;BIGG:bigg39523;	0	C7H14N2O4S
3mop	(S)-3-Methyl-2-oxopentanoate	KEGG:C00671;BIGG:bigg35662;	-1	C6H9O3
dtdp4d6dg	dTDP-4-dehydro-6-deoxy-D-glucose	KEGG:C00687;BIGG:bigg35701;	-2	C16H22N2O15P2
nrvnccoa	nervonyl coenzyme A	BIGG:bigg2218805;	-4	C45H76N7O17P3S
dlnlcgcoa	dihomo-gamma-linolenyl coenzyme A	BIGG:bigg2218847;	-4	C41H64N7O17P3S
adprbp	ADPribose 2'-phosphate	KEGG:C03246;BIGG:bigg41491;	-4	C15H20N5O17P3
citmcoa-L	L-Citramalyl-CoA	KEGG:C01011;BIGG:bigg36606;	-5	C26H37N7O20P3S
saccrp-L	L-Saccharopine	KEGG:C00449;CAS:997-68-2;BIGG:bigg1484994;	-1	C11H19N2O6
2maacoa	2-Methyl-3-acetoacetyl-CoA	KEGG:C03344;BIGG:bigg41671;	-4	C26H38N7O18P3S
galthcrm_hs	Gal-Gal-Gal-Glc-Cer (homo sapiens)	BIGG:bigg2266458;	0	C42H76NO22FULLRCO
gm1b_hs	GM1b (homo sapiens)	BIGG:bigg2266536;	-1	C55H95N3O30FULLRCO
vitd3	Vitamin D3	BIGG:bigg2288999;	0	C27H44O
ksii_core2_pre5	keratan sulfate II biosynthesis, precursor 5	BIGG:bigg2296681;	-1	C61H99N5O43X
onpthl	naphthalene epoxide	BIGG:bigg2299951;	0	C10H8O
dhcholestanate	3alpha,7alpha-Dihydroxy-5beta-cholestanate	KEGG:C04554;CAS:652-69-7;BIGG:bigg44035;	-1	C27H45O4
ksi_deg26	keratan sulfate I, degradation product 26	BIGG:bigg2416950;	-4	C110H179N7O93S4
acgalfucgalacglcgalgluside_hs	Type IA glycolipid	BIGG:bigg2419346;	0	C58H102N3O31FULLRCO
acgalfucgalacgalfuc12gal14acglcgalgluside_hs	Type IIIA glycolipid	BIGG:bigg2419401;	0	C78H135N4O45FULLRCO
perillyl	Perillyl alcohol	KEGG:C02452;CAS:536-59-4;BIGG:bigg39849;	0	C10H16O
din	Deoxyinosine	KEGG:C05512;CAS:890-38-0;BIGG:bigg45942;	0	C10H12N4O4
4abutn	4-Aminobutanal	KEGG:C00555;BIGG:bigg35337;	1	C4H10NO
2pglyc	2-Phosphoglycolate	KEGG:C00988;BIGG:bigg36550;	-3	C2H2O6P
3hanthrn	3-Hydroxyanthranilate	KEGG:C00632;CAS:548-93-6;BIGG:bigg1485273;	0	C7H7NO3
seln	Selenide	KEGG:C01528;CAS:531-44-2;BIGG:bigg37794;	-1	HSe
acglu	N-Acetyl-L-glutamate	KEGG:C00624;CAS:1188-37-0;BIGG:bigg35520;	-2	C7H9NO5
odecoa	Octadecenoyl-CoA (n-C18:1CoA)	KEGG:C00510;BIGG:bigg1451388;	-4	C39H64N7O17P3S
cysam	Cysteamine	KEGG:C01678;CAS:60-23-1;BIGG:bigg1808054;	1	C2H8NS
m5masnB2	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	BIGG:bigg1822948;	0	C52H87N2O40X
34dhmald	3,4-Dihydroxymandelaldehyde	KEGG:C05577;CAS:61-33-6;BIGG:bigg46056;	0	C8H8O4
12ppd-R	(R)-Propane-1,2-diol	KEGG:C02912;CAS:4254-14-2;BIGG:bigg40801;	0	C3H8O2
15HPET	15-Hydroperoxyeicosatetraenoic acid	KEGG:C05966;CAS:1189-11-3;BIGG:bigg47085;	-1	C20H31O4
btamp	Biotinyl-5'-AMP	KEGG:C05921;BIGG:bigg46920;	-1	C20H27N7O9PS
4tmeabutn	4-Trimethylammoniobutanoate	KEGG:C01181;BIGG:bigg53567;	0	C7H15NO2
gt1c_hs	GT1c (homo sapiens)	BIGG:bigg2266626;	-3	C77H127N5O46FULLRCO
ksi_pre35	keratan sulfate I biosynthesis, precursor 35	BIGG:bigg2296855;	-12	C241H384N17O205S11X
cs_e_pre4	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 4	BIGG:bigg2300741;	-6	C45H65N2O48S4X
arach	Arachidic acid	KEGG:C06425;CAS:506-30-9;BIGG:bigg48230;	-1	C20H39O2
xu1p-D	D-Xylulose 1-phosphate	BIGG:bigg2388820;	-2	C5H9O8P
ptdcacoa	pentadecanoyl Coenzyme A	BIGG:bigg2415313;	-4	C36H60N7O17P3S
cspg_c	chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan	BIGG:bigg2300738;	-5	C45H66N2O45S3X
cs_e_deg7	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 7	BIGG:bigg2416326;	-3	C23H35O27S2
ksi_deg15	keratan sulfate I, degradation product 15	BIGG:bigg2416930;	-8	C160H257N11O140S8
Nacasp	N-Acetyl-L-aspartate	KEGG:C01042;BIGG:bigg36685;	-2	C6H7NO5
ksii_core4_deg4	keratan sulfate II (core 4-linked), degradation product 4	BIGG:bigg2418070;	-1	C66H108N6O48SX
fuc12gal14acglcgalgluside_hs	Type IIH glycolipid	BIGG:bigg2419384;	0	C50H89N2O26FULLRCO
acngal14acglcgalgluside_hs	Sialyl-3-paragloboside	BIGG:bigg2419369;	-1	C55H95N3O30FULLRCO
fucfucgalacglc13galacglcgal14acglcgalgluside_hs	(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1	BIGG:bigg2419457;	0	C84H145N4O50FULLRCO
f6p	D-Fructose 6-phosphate	KEGG:C00085;CAS:643-13-0;BIGG:bigg33795;	-2	C6H11O9P
5mdr1p	5-Methylthio-5-deoxy-D-ribose 1-phosphate	KEGG:C04188;BIGG:bigg43318;	-2	C6H11O7PS
aps	Adenosine 5'-phosphosulfate	KEGG:C00224;BIGG:bigg34307;	-2	C10H12N5O10PS
56dthm	5,6-Dihydrothymine	KEGG:C00906;CAS:696-04-8;BIGG:bigg36347;	0	C5H8N2O2
amuco	2-Aminomuconate	KEGG:C02220;BIGG:bigg1445654;	-1	C6H6NO4
3dsphgn	3-Dehydrosphinganine	KEGG:C02934;BIGG:bigg1453300;	1	C18H38NO2
gdpmann	GDP-D-mannose	KEGG:C00096;BIGG:bigg1460457;	-2	C16H23N5O16P2
dedoldp_U	Dehydrodolichol diphosphate, human uterine homolog	BIGG:bigg1814662;	-30	C1025H1650O70P20
6hoxmelatn	6-Hydroxymelatonin	KEGG:C05643;CAS:2208-41-5;BIGG:bigg46185;	0	C13H16N2O3
fna5moxam	Formyl-N-acetyl-5-methoxykynurenamine	KEGG:C05642;CAS:552-58-9;BIGG:bigg46183;	0	C13H16N2O4
dttp	dTTP	KEGG:C00459;BIGG:bigg35032;	-4	C10H13N2O14P3
akdhap_hs	1-alkyldihydroxyacetone phosphate	BIGG:bigg2255845;	-2	C3H4O6PFULLRC2H4
pa_hs	phosphatidic acid (homo sapiens)	BIGG:bigg2220568;	-2	C3H5O4PFULLRCO2FULLR2CO2
mi3p-D	1D-myo-Inositol 3-phosphate	KEGG:C04006;CAS:434-13-9;BIGG:bigg42948;	-2	C6H11O9P
minohp	myo-Inositol hexakisphosphate	KEGG:C01204;BIGG:bigg37070;	-12	C6H6O24P6
m2emgacpail_hs	(dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (H6)	BIGG:bigg2288896;	0	C51H94N2O32P2FULLRCO2FULLR2CO2
2425dhvitd3	24R,25-Dihydroxyvitamin D3	BIGG:bigg2289319;	0	C27H44O3
ksi_pre8	keratan sulfate I biosynthesis, precursor 8	BIGG:bigg2296821;	-3	C115H186N8O88S2X
ca2	Calcium	KEGG:C00076;CAS:7440-70-2;BIGG:bigg33764;	2	Ca
dhcholestancoa	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	KEGG:C04644;CAS:2461-62-3;BIGG:bigg44249;	-4	C48H76N7O19P3S
phyt2ohcoa	2-Hydroxyphytanoyl-CoA	BIGG:bigg2364545;	-4	C41H70N7O18P3S
cs_e_deg1	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 1	BIGG:bigg2416310;	-7	C45H65N2O52S5
ksi_deg17	keratan sulfate I, degradation product 17	BIGG:bigg2416947;	-7	C152H245N10O132S7
ksi_deg32	keratan sulfate I, degradation product 32	BIGG:bigg2416952;	-2	C82H135N5O67S2
ksi_deg16	keratan sulfate I, degradation product 16	BIGG:bigg2416939;	-7	C160H258N11O137S7
fdp	D-Fructose 1,6-bisphosphate	KEGG:C00354;CAS:488-69-7;BIGG:bigg34717;	-4	C6H10O12P2
fru	D-Fructose	KEGG:C00095;CAS:57-48-7;BIGG:bigg33835;	0	C6H12O6
fuc1p-L	L-Fucose 1-phosphate	KEGG:C02985;BIGG:bigg40955;	-2	C6H11O8P
dad-5	5'-Deoxyadenosine	KEGG:C05198;BIGG:bigg45324;	0	C10H13N5O3
2c23dh56dhoxin	2-Carboxy-2,3-dihydro-5,6-dihydroxyindole	KEGG:C05604;CAS:102-29-4;BIGG:bigg46110;	-1	C9H8NO4
nformanth	N-Formylanthranilate	KEGG:C05653;CAS:3342-77-6;BIGG:bigg46205;	-1	C8H6NO3
ksi_pre20	keratan sulfate I biosynthesis, precursor 20	BIGG:bigg2296837;	-7	C171H274N12O140S6X
ksii_core2_deg4	keratan sulfate II (core 2-linked), degradation product 4	BIGG:bigg2418059;	-1	C58H95N5O43SX
retinol-cis-13	cis-13-retinol	BIGG:bigg2455099;	0	C20H30O
vacccrn	Vaccenyl carnitine	BIGG:bigg2614385;	0	C25H47NO4
m7masnC	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)	BIGG:bigg1822940;	0	C64H107N2O50X
alkylR1oh	hydroxy alkyl chain	BIGG:bigg2255810;	0	C2H5OFULLR
3moxtyr	3-Methoxytyramine	KEGG:C05587;CAS:306-08-1;BIGG:bigg46076;	1	C9H14NO2
ksi_pre18	keratan sulfate I biosynthesis, precursor 18	BIGG:bigg2296833;	-6	C163H262N11O132S5X
ksi_pre33	keratan sulfate I biosynthesis, precursor 33	BIGG:bigg2296852;	-11	C233H372N16O197S10X
ksii_core4_pre6	keratan sulfate II biosynthesis, precursor 6	BIGG:bigg2299221;	-2	C69H111N6O51SX
hnifedipine	hydroxy nifedipine	BIGG:bigg2299950;	0	C17H18N2O7
acetol	Acetol	KEGG:C05235;CAS:116-09-6;BIGG:bigg45400;	0	C3H6O2
ksi_deg24	keratan sulfate I, degradation product 24	BIGG:bigg2416933;	-5	C118H191N8O101S5
pyr	Pyruvate	KEGG:C00022;CAS:127-17-3;BIGG:bigg33546;	-1	C3H3O3
ala-L	L-Alanine	KEGG:C00041;CAS:56-41-7;BIGG:bigg33629;	0	C3H7NO2
3php	3-Phosphohydroxypyruvate	KEGG:C03232;BIGG:bigg41453;	-3	C3H2O7P
imp	IMP	KEGG:C00130;CAS:131-99-7;BIGG:bigg33960;	-2	C10H11N4O8P
3uib	3-Ureidoisobutyrate	KEGG:C05100;BIGG:bigg45118;	-1	C5H9N2O3
air	5-amino-1-(5-phospho-D-ribosyl)imidazole	KEGG:C03373;CAS:25635-88-5;BIGG:bigg41727;	-2	C8H12N3O7P
pro-L	L-Proline	KEGG:C00148;CAS:147-85-3;BIGG:bigg34042;	0	C5H9NO2
pydx5p	Pyridoxal 5'-phosphate	KEGG:C00018;CAS:54-47-7;BIGG:bigg33526;	-2	C8H8NO6P
tsul	Thiosulfate	KEGG:C00320;BIGG:bigg34610;	-2	O3S2
c226coa	cervonyl coenzyme A	BIGG:bigg1586042;	-4	C43H62N7O17P3S
crvnc	cervonic acid, C22:6 n-3	CAS:1553-41-9;BIGG:bigg1586190;	-1	C22H31O2
dolichol_U	Dolichol, human uterine homolog	BIGG:bigg1809212;	0	C1025H1680O10
m8masn	(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	BIGG:bigg1822417;	0	C70H117N2O55X
m7mpdol_U	(alpha-D-Mannosyl)7-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	BIGG:bigg1809517;	-20	C1665H2740N20O570P20
g1m6masnB1	glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	BIGG:bigg1838949;	0	C64H107N2O50X
pheme	Protoheme	KEGG:C00032;CAS:14875-96-8;BIGG:bigg33586;	-2	C34H30FeN4O4
ppi	Diphosphate	KEGG:C00013;CAS:206975;BIGG:bigg33511;	-3	HO7P2
nmthsrtn	N-Methylserotonin	KEGG:C06212;CAS:90-02-8;BIGG:bigg47668;	1	C11H15N2O
adpman	ADPmannose	BIGG:bigg2206034;	-2	C16H23N5O15P2
dudp	dUDP	KEGG:C01346;BIGG:bigg37403;	-3	C9H11N2O11P2
txa2	Thromboxane A2	KEGG:C02198;CAS:57576-52-0;BIGG:bigg39305;	-1	C20H31O5
3padsel	3'-Phosphoadenylylselenate	KEGG:C05696;CAS:4408-78-0;BIGG:bigg46306;	-4	C10H11N5O13P2Se
1p2cbxl	1-Pyrroline-2-carboxylate	KEGG:C03564;CAS:46495-39-0;BIGG:bigg42087;	-1	C5H6NO2
tmlys	N6,N6,N6-Trimethyl-L-lysine	KEGG:C03793;CAS:6323-97-3;BIGG:bigg42542;	0	C9H20N2O2
vitd2	Vitamin D2	BIGG:bigg2289183;	0	C28H44O
estroneglc	estrone glucuronide	BIGG:bigg2304836;	0	C24H30O8
prostge1	Prostaglandin E1	KEGG:C04741;CAS:745-65-3;BIGG:bigg44455;	-1	C20H33O5
hxan	Hypoxanthine	KEGG:C00262;CAS:68-94-0;BIGG:bigg34434;	0	C5H4N4O
xol7ah3	3alpha,7alpha,26-Trihydroxy-5beta-cholestane	KEGG:C05444;CAS:67-97-0;BIGG:bigg45823;	0	C27H48O3
xol7ah2	3alpha,7alpha-Dihydroxy-5beta-cholestane	KEGG:C05452;CAS:67-97-0;BIGG:bigg45841;	0	C27H48O2
adrn	adrenic acid	BIGG:bigg2218009;	-1	C22H35O2
hs_deg2	heparan sulfate, degradation product 2	BIGG:bigg2303739;	-11	C79H116N5O96S10
ksii_core4_deg1	keratan sulfate II (core 4-linked), degradation product 1	BIGG:bigg2418067;	-3	C78H126N6O64S3X
sl-L	L-sulfolactate	KEGG:C11499;BIGG:bigg1885198;	-2	C3H4O6S
hretn	4 hydroxy retinoic acid	BIGG:bigg2299866;	-1	C20H27O3
dlnlcgcrn	dihomo-gamma-linolenyl carnitine	BIGG:bigg2614412;	0	C27H47NO4
tettet6crn	Tetracosatetraenoyl carnitine	BIGG:bigg2614440;	0	C31H53NO4
fucacngalacglcgalgluside_hs	IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer	BIGG:bigg2419343;	-1	C61H105N3O34FULLRCO
aflatoxin	aflatoxin B1	BIGG:bigg2300004;	0	C17H12O6
5adtststeroneglc	5alpha-Dihydrotestosterone glucuronide	BIGG:bigg2423365;	0	C25H38O8
aldstrn	Aldosterone	KEGG:C01780;CAS:52-39-1;BIGG:bigg38397;	0	C21H28O5
ptrc	Putrescine	KEGG:C00134;CAS:110-60-1;BIGG:bigg33980;	2	C4H14N2
